categoryName|level|german|english
Household & Cleaning|A1|der Schrank|cupboard
Household & Cleaning|A1|der Ofen|oven
Household & Cleaning|A1|der Teppich|carpet
Household & Cleaning|A1|die Treppe|stairs
Household & Cleaning|A1|der Staubsauger|vacuum cleaner
Household & Cleaning|A1|putzen|to clean
Household & Cleaning|A1|waschen|to wash
Household & Cleaning|A1|trocknen|to dry
Household & Cleaning|A1|oeffnen|to open
Household & Cleaning|A1|schliessen|to close
Household & Cleaning|A2|der Abfalleimer|trash can
Household & Cleaning|A2|der Putzplan|cleaning schedule
Household & Cleaning|A2|spuelen|to rinse
Household & Cleaning|A2|wischen|to wipe
Household & Cleaning|A2|aufhaengen|to hang up
Household & Cleaning|A2|das Waschmittel|detergent
Household & Cleaning|A2|der Schwamm|sponge
Household & Cleaning|A2|der Wasserhahn|tap
Household & Cleaning|A2|die Steckdose|socket
Household & Cleaning|A2|die Bettwaesche|bed linen
Household & Cleaning|A2|ordnen|to organize
Household & Cleaning|A2|der Flur|hallway
Household & Cleaning|A2|die Schublade|drawer
Household & Cleaning|A2|der Keller|basement
Household & Cleaning|A2|der Dachboden|attic
Household & Cleaning|B1|entsorgen|to dispose of
Household & Cleaning|B1|polieren|to polish
Household & Cleaning|B1|der Schmutz|dirt
Household & Cleaning|B1|hygienisch|hygienic
Household & Cleaning|B1|die Reparatur|repair
Household & Cleaning|B1|die Hausarbeit|housework
Household & Cleaning|B1|der Haushaltsplan|household plan
Household & Cleaning|B1|umraeumen|to rearrange
Household & Cleaning|B1|der Vorratsschrank|pantry cupboard
Household & Cleaning|B1|die Sauberkeit|cleanliness
Household & Cleaning|B1|der Fleck|stain
Household & Cleaning|B1|ausleeren|to empty out
Household & Cleaning|B1|nachfuellen|to refill
Household & Cleaning|B1|die Wohnflaeche|living space
Household & Cleaning|B1|instand halten|to maintain
Cooking & Kitchen|A1|das Messer|knife
Cooking & Kitchen|A1|die Gabel|fork
Cooking & Kitchen|A1|der Loeffel|spoon
Cooking & Kitchen|A1|der Teller|plate
Cooking & Kitchen|A1|die Tasse|cup
Cooking & Kitchen|A1|das Glas|glass
Cooking & Kitchen|A1|die Pfanne|pan
Cooking & Kitchen|A1|der Topf|pot
Cooking & Kitchen|A1|der Herd|stove
Cooking & Kitchen|A1|der Kuehlschrank|fridge
Cooking & Kitchen|A1|der Backofen|oven
Cooking & Kitchen|A1|die Mikrowelle|microwave
Cooking & Kitchen|A1|schneiden|to cut
Cooking & Kitchen|A1|braten|to fry
Cooking & Kitchen|A1|backen|to bake
Cooking & Kitchen|A1|salzen|to salt
Cooking & Kitchen|A1|ruehren|to stir
Cooking & Kitchen|A1|kochen lassen|to simmer
Cooking & Kitchen|A1|decken|to set the table
Cooking & Kitchen|A1|servieren|to serve
Cooking & Kitchen|A2|die Zutaten|ingredients
Cooking & Kitchen|A2|wuerzen|to season
Cooking & Kitchen|A2|schaelen|to peel
Cooking & Kitchen|A2|mischen|to mix
Cooking & Kitchen|A2|abwiegen|to weigh
Cooking & Kitchen|A2|der Teig|dough
Cooking & Kitchen|A2|der Essig|vinegar
Cooking & Kitchen|A2|das Oel|oil
Cooking & Kitchen|A2|die Butter|butter
Cooking & Kitchen|A2|der Pfeffer|pepper
Cooking & Kitchen|A2|der Zucker|sugar
Cooking & Kitchen|A2|das Salz|salt
Cooking & Kitchen|A2|die Kuechenrolle|kitchen roll
Cooking & Kitchen|A2|die Schuessel|bowl
Cooking & Kitchen|A2|die Reibe|grater
Cooking & Kitchen|B1|abschmecken|to season to taste
Cooking & Kitchen|B1|anbraten|to sear
Cooking & Kitchen|B1|aufkochen|to bring to a boil
Cooking & Kitchen|B1|die Portion|portion
Cooking & Kitchen|B1|die Kochzeit|cooking time
Cooking & Kitchen|B1|der Dampf|steam
Cooking & Kitchen|B1|die Kochplatte|hotplate
Cooking & Kitchen|B1|zerdruecken|to mash
Cooking & Kitchen|B1|die Kelle|ladle
Cooking & Kitchen|B1|der Schneebesen|whisk
Cooking & Kitchen|B1|die Vorratsdose|storage container
Cooking & Kitchen|B1|anrichten|to plate up
Cooking & Kitchen|B1|saftig|juicy
Cooking & Kitchen|B1|knusprig|crispy
Cooking & Kitchen|B1|die Zubereitung|preparation
Transportation|A1|das Fahrrad|bicycle
Transportation|A1|das Motorrad|motorbike
Transportation|A1|das Taxi|taxi
Transportation|A1|die U-Bahn|subway
Transportation|A1|die S-Bahn|city rail
Transportation|A1|das Schiff|ship
Transportation|A1|das Boot|boat
Transportation|A1|fahren|to drive
Transportation|A1|halten|to stop
Transportation|A1|starten|to start
Transportation|A1|bremsen|to brake
Transportation|A1|parken|to park
Transportation|A1|einsteigen|to get in
Transportation|A1|aussteigen|to get out
Transportation|A1|die Haltestelle|stop
Transportation|A1|der Fahrer|driver
Transportation|A1|die Fahrerin|female driver
Transportation|A1|das Lenkrad|steering wheel
Transportation|A1|die Ampel|traffic light
Transportation|A1|der Parkplatz|parking space
Transportation|A2|der Fahrplan|timetable
Transportation|A2|die Fahrbahn|roadway
Transportation|A2|die Ausfahrt|exit
Transportation|A2|die Einfahrt|entrance
Transportation|A2|beschleunigen|to accelerate
Transportation|A2|ueberholen|to overtake
Transportation|A2|der Stau|traffic jam
Transportation|A2|die Tankstelle|gas station
Transportation|A2|tanken|to refuel
Transportation|A2|der Motor|engine
Transportation|A2|das Gaspedal|accelerator pedal
Transportation|A2|die Bremse|brake
Transportation|A2|die Kreuzfahrt|cruise
Transportation|A2|der Waggon|rail car
Transportation|A2|die Pendlerstrecke|commuter route
Transportation|B1|die Mobilitaet|mobility
Transportation|B1|der Berufsverkehr|rush hour
Transportation|B1|umleiten|to reroute
Transportation|B1|versperrt|blocked
Transportation|B1|die Umweltzone|environmental zone
Transportation|B1|der Sicherheitsgurt|seat belt
Transportation|B1|umfahren|to drive around
Transportation|B1|die Reisezeit|travel time
Transportation|B1|die Strecke planen|to plan the route
Transportation|B1|der Fahrzeugschluessel|vehicle key
Transportation|B1|der Fahrgast|passenger
Transportation|B1|umweltschonend|environmentally friendly
Transportation|B1|die Anbindung|transport connection
Transportation|B1|der Nahverkehr|local transit
Transportation|B1|der Fernverkehr|long-distance transit
Directions & Orientation|A1|links|left
Directions & Orientation|A1|rechts|right
Directions & Orientation|A1|geradeaus|straight ahead
Directions & Orientation|A1|gegenueber|opposite
Directions & Orientation|A1|nebenan|next door
Directions & Orientation|A1|hier|here
Directions & Orientation|A1|dort|there
Directions & Orientation|A1|oben|upstairs
Directions & Orientation|A1|unten|downstairs
Directions & Orientation|A1|die Ecke|corner
Directions & Orientation|A1|abbiegen|to turn
Directions & Orientation|A1|folgen|to follow
Directions & Orientation|A1|suchen|to look for
Directions & Orientation|A1|finden|to find
Directions & Orientation|A1|zeigen|to show
Directions & Orientation|A1|links abbiegen|to turn left
Directions & Orientation|A1|rechts abbiegen|to turn right
Directions & Orientation|A1|die Richtung|direction
Directions & Orientation|A1|der Wegweiser|signpost
Directions & Orientation|A1|der Ausgang|exit
Directions & Orientation|A2|entlanggehen|to walk along
Directions & Orientation|A2|zurueckgehen|to go back
Directions & Orientation|A2|sich verlaufen|to get lost
Directions & Orientation|A2|noerdlich|northern
Directions & Orientation|A2|suedlich|southern
Directions & Orientation|A2|oestlich|eastern
Directions & Orientation|A2|westlich|western
Directions & Orientation|A2|die Orientierung|orientation
Directions & Orientation|A2|der Stadtplan|city map
Directions & Orientation|A2|der Umweg|detour
Directions & Orientation|A2|die Abkuerzung|shortcut
Directions & Orientation|A2|bergauf|uphill
Directions & Orientation|A2|bergab|downhill
Directions & Orientation|A2|der Eingang|entrance
Directions & Orientation|A2|durchqueren|to cross
Directions & Orientation|B1|navigieren|to navigate
Directions & Orientation|B1|ortskundig|familiar with the area
Directions & Orientation|B1|die Beschilderung|signage
Directions & Orientation|B1|die Wegbeschreibung|directions
Directions & Orientation|B1|die Umleitung|diversion
Directions & Orientation|B1|unuebersichtlich|confusing
Directions & Orientation|B1|erreichbar|reachable
Directions & Orientation|B1|die Entfernung|distance
Directions & Orientation|B1|die Naehe|closeness
Directions & Orientation|B1|der Treffpunkt|meeting point
Directions & Orientation|B1|den Weg erklaeren|to explain the way
Directions & Orientation|B1|die Himmelsrichtung|cardinal direction
Directions & Orientation|B1|verorten|to locate
Directions & Orientation|B1|die Sackgasse|dead end
Directions & Orientation|B1|das Zielgebiet|destination area
Restaurant & Cafe|A1|der Kellner|waiter
Restaurant & Cafe|A1|die Kellnerin|waitress
Restaurant & Cafe|A1|die Speisekarte|menu
Restaurant & Cafe|A1|den Tisch reservieren|to reserve the table
Restaurant & Cafe|A1|das Menue|set menu
Restaurant & Cafe|A1|der Salat|salad
Restaurant & Cafe|A1|die Rechnung bitte|the bill please
Restaurant & Cafe|A1|bezahlen mit Karte|to pay by card
Restaurant & Cafe|A1|trinken|to drink
Restaurant & Cafe|A1|essen|to eat
Restaurant & Cafe|A1|warten|to wait
Restaurant & Cafe|A1|am Tresen bestellen|to order at the counter
Restaurant & Cafe|A1|der Nachtisch|dessert
Restaurant & Cafe|A1|die Vorspeise|starter
Restaurant & Cafe|A1|das Hauptgericht|main course
Restaurant & Cafe|A1|das Trinkgeld|tip
Restaurant & Cafe|A1|der Pfefferminztee|peppermint tea
Restaurant & Cafe|A1|der Orangensaft|orange juice
Restaurant & Cafe|A1|die Baeckerei|bakery
Restaurant & Cafe|A1|der Kuchen|cake
Restaurant & Cafe|A2|vegetarisch|vegetarian
Restaurant & Cafe|A2|vegan|vegan
Restaurant & Cafe|A2|laktosefrei|lactose-free
Restaurant & Cafe|A2|glutenfrei|gluten-free
Restaurant & Cafe|A2|der Service|service
Restaurant & Cafe|A2|die Bestellung aufnehmen|to take the order
Restaurant & Cafe|A2|empfehlen|to recommend
Restaurant & Cafe|A2|nachbestellen|to order more
Restaurant & Cafe|A2|die Reservierung bestaetigen|to confirm the reservation
Restaurant & Cafe|A2|ausgebucht|fully booked
Restaurant & Cafe|A2|die Spezialitaet|specialty
Restaurant & Cafe|A2|der Mittagsimbiss|lunch snack
Restaurant & Cafe|A2|die Kaffeepause|coffee break
Restaurant & Cafe|A2|der Stammgast|regular customer
Restaurant & Cafe|A2|die Rechnung teilen|to split the bill
Restaurant & Cafe|B1|der Gaumen|palate
Restaurant & Cafe|B1|aromatisch|aromatic
Restaurant & Cafe|B1|die Bedienung|service staff
Restaurant & Cafe|B1|das Buffet|buffet
Restaurant & Cafe|B1|der Aussenbereich|outdoor area
Restaurant & Cafe|B1|auswaehlen|to choose
Restaurant & Cafe|B1|nachfragen|to ask again
Restaurant & Cafe|B1|reklamieren|to complain
Restaurant & Cafe|B1|der Geschmackssinn|sense of taste
Restaurant & Cafe|B1|hausgemacht|homemade
Restaurant & Cafe|B1|saisonal|seasonal
Restaurant & Cafe|B1|die Oeffnungszeiten|opening hours
Restaurant & Cafe|B1|die Kundschaft|clientele
Restaurant & Cafe|B1|ausverkauft|sold out
Restaurant & Cafe|B1|die Speise|dish
Sports & Fitness|A1|laufen|to run
Sports & Fitness|A1|springen|to jump
Sports & Fitness|A1|werfen|to throw
Sports & Fitness|A1|fangen|to catch
Sports & Fitness|A1|das Tor|goal
Sports & Fitness|A1|der Ball|ball
Sports & Fitness|A1|das Spiel|game
Sports & Fitness|A1|der Spieler|player
Sports & Fitness|A1|die Spielerin|female player
Sports & Fitness|A1|turnen|to do gymnastics
Sports & Fitness|A1|die Mannschaft|team
Sports & Fitness|A1|der Trainer|coach
Sports & Fitness|A1|die Trainerin|female coach
Sports & Fitness|A1|schwitzen|to sweat
Sports & Fitness|A1|dehnen|to stretch
Sports & Fitness|A1|der Helm|helmet
Sports & Fitness|A1|der Schlaeger|racket
Sports & Fitness|A1|das Netz|net
Sports & Fitness|A1|der Pokal|trophy
Sports & Fitness|A1|gewinnen|to win
Sports & Fitness|A2|verlieren|to lose
Sports & Fitness|A2|der Wettkampf|competition
Sports & Fitness|A2|das Training|training
Sports & Fitness|A2|die Uebung|exercise
Sports & Fitness|A2|die Fitness|fitness
Sports & Fitness|A2|die Ausdauer|endurance
Sports & Fitness|A2|die Umkleide|locker room
Sports & Fitness|A2|der Zuschauer|spectator
Sports & Fitness|A2|die Zuschauerin|female spectator
Sports & Fitness|A2|der Gegner|opponent
Sports & Fitness|A2|die Gegnerin|female opponent
Sports & Fitness|A2|die Meisterschaft|championship
Sports & Fitness|A2|der Anpfiff|kickoff
Sports & Fitness|A2|das Turnier|tournament
Sports & Fitness|A2|das Handtuch|towel
Sports & Fitness|B1|sich aufwaermen|to warm up
Sports & Fitness|B1|der Muskelkater|muscle soreness
Sports & Fitness|B1|leistungsfaehig|high-performing
Sports & Fitness|B1|durchhalten|to persevere
Sports & Fitness|B1|der Teamgeist|team spirit
Sports & Fitness|B1|verletzungsfrei|injury-free
Sports & Fitness|B1|ausgleichen|to balance out
Sports & Fitness|B1|der Spielzug|move
Sports & Fitness|B1|die Herausforderung|challenge
Sports & Fitness|B1|der Erfolg|success
Sports & Fitness|B1|scheitern|to fail
Sports & Fitness|B1|sich erholen|to recover
Sports & Fitness|B1|die Belastung|strain
Sports & Fitness|B1|der Schiedsrichter|referee
Sports & Fitness|B1|die Taktik|tactic
Music & Arts|A1|malen|to paint
Music & Arts|A1|die Gitarre|guitar
Music & Arts|A1|das Klavier|piano
Music & Arts|A1|die Geige|violin
Music & Arts|A1|die Trommel|drum
Music & Arts|A1|die Floete|flute
Music & Arts|A1|das Lied|song
Music & Arts|A1|der Chor|choir
Music & Arts|A1|die Buehne|stage
Music & Arts|A1|das Bild|picture
Music & Arts|A1|der Pinsel|paintbrush
Music & Arts|A1|der Ton|sound
Music & Arts|A1|die Melodie|melody
Music & Arts|A1|das Konzert|concert
Music & Arts|A1|das Plakat|poster
Music & Arts|A1|klatschen|to clap
Music & Arts|A1|auftreten|to perform
Music & Arts|A1|komponieren|to compose
Music & Arts|A1|filmen|to film
Music & Arts|A1|basteln|to do crafts
Music & Arts|A2|die Ausstellung|exhibition
Music & Arts|A2|der Schauspieler|actor
Music & Arts|A2|die Schauspielerin|actress
Music & Arts|A2|die Kamera|camera
Music & Arts|A2|das Mikrofon|microphone
Music & Arts|A2|der Rhythmus|rhythm
Music & Arts|A2|die Leinwand|canvas
Music & Arts|A2|die Galerie|gallery
Music & Arts|A2|der Applaus|applause
Music & Arts|A2|proben|to rehearse
Music & Arts|A2|vertonen|to set to music
Music & Arts|A2|skizzieren|to sketch
Music & Arts|A2|kunstvoll|artful
Music & Arts|A2|der Regisseur|director
Music & Arts|A2|die Regisseurin|female director
Music & Arts|B1|die Kreativitaet|creativity
Music & Arts|B1|die Inszenierung|staging
Music & Arts|B1|interpretieren|to interpret
Music & Arts|B1|beeindruckend|impressive
Music & Arts|B1|das Kunstwerk|artwork
Music & Arts|B1|die Aufnahme|recording
Music & Arts|B1|der Soundtrack|soundtrack
Music & Arts|B1|die Perspektive|perspective
Music & Arts|B1|die Skulptur|sculpture
Music & Arts|B1|die Werkstatt|studio
Music & Arts|B1|inszenieren|to stage
Music & Arts|B1|die Kulisse|set
Music & Arts|B1|die Improvisation|improvisation
Music & Arts|B1|anspruchsvoll|demanding
Music & Arts|B1|die Darbietung|performance
Books & Media|A1|die Zeitung|newspaper
Books & Media|A1|die Zeitschrift|magazine
Books & Media|A1|der Text|text
Books & Media|A1|der Titel|title
Books & Media|A1|die Seite|page
Books & Media|A1|der Brief|letter
Books & Media|A1|die Geschichte|story
Books & Media|A1|der Artikel|article
Books & Media|A1|die Ueberschrift|headline
Books & Media|A1|die Frage|question
Books & Media|A1|die Antwort|answer
Books & Media|A1|die Werbung|advertisement
Books & Media|A1|der Fernseher|television
Books & Media|A1|das Radio|radio
Books & Media|A1|der Bericht|report
Books & Media|A1|die Information|information
Books & Media|A1|der Absatz|paragraph
Books & Media|A1|der Autor|author
Books & Media|A1|die Autorin|female author
Books & Media|A1|der Comic|comic
Books & Media|A2|der Roman|novel
Books & Media|A2|das Kapitel|chapter
Books & Media|A2|der Inhalt|content
Books & Media|A2|die Schlagzeile|headline
Books & Media|A2|die Presse|press
Books & Media|A2|drucken|to print
Books & Media|A2|veroeffentlichen|to publish
Books & Media|A2|die Sendung|broadcast
Books & Media|A2|der Moderator|host
Books & Media|A2|die Moderatorin|female host
Books & Media|A2|die Doku|documentary
Books & Media|A2|die Kritik|review
Books & Media|A2|das Interview|interview
Books & Media|A2|die Rezension|review article
Books & Media|A2|abonnieren|to subscribe
Books & Media|B1|die Medienlandschaft|media landscape
Books & Media|B1|die Quelle|source
Books & Media|B1|glaubwuerdig|credible
Books & Media|B1|berichten ueber|to report on
Books & Media|B1|uebertragen|to broadcast
Books & Media|B1|die Berichterstattung|coverage
Books & Media|B1|die Leserschaft|readership
Books & Media|B1|die Ausgabe|edition
Books & Media|B1|der Verlag|publishing house
Books & Media|B1|die Redaktion|editorial office
Books & Media|B1|zusammenfassen|to summarize
Books & Media|B1|die Nachrichtensendung|news program
Books & Media|B1|der Kommentar|commentary
Books & Media|B1|informieren ueber|to inform about
Books & Media|B1|die Debatte|debate
Office & Business|A1|die Firma|company
Office & Business|A1|das Papier|paper
Office & Business|A1|der Ordner|folder
Office & Business|A1|die Maus|computer mouse
Office & Business|A1|der Drucker|printer
Office & Business|A1|kopieren|to copy
Office & Business|A1|scannen|to scan
Office & Business|A1|unterschreiben|to sign
Office & Business|A1|der Vertrag|contract
Office & Business|A1|das Formular|form
Office & Business|A1|der Besprechungsraum|meeting room
Office & Business|A1|das Dokument|document
Office & Business|A1|die Akte|file
Office & Business|A1|der Bleistift|pencil
Office & Business|A1|loeschen|to delete
Office & Business|A1|speichern als PDF|to save as PDF
Office & Business|A1|senden|to send
Office & Business|A1|empfangen|to receive
Office & Business|A1|planen|to plan
Office & Business|A1|buchen|to book
Office & Business|A2|die Abteilung|department
Office & Business|A2|die Leitung|management
Office & Business|A2|die Verwaltung|administration
Office & Business|A2|verhandeln|to negotiate
Office & Business|A2|die Lieferung|delivery
Office & Business|A2|der Lieferant|supplier
Office & Business|A2|die Lieferantin|female supplier
Office & Business|A2|das Angebot|offer
Office & Business|A2|die Nachfrage|demand
Office & Business|A2|die Frist|deadline
Office & Business|A2|verschieben|to postpone
Office & Business|A2|bestaetigen|to confirm
Office & Business|A2|weiterleiten|to forward
Office & Business|A2|die Unterschrift|signature
Office & Business|A2|vertraulich|confidential
Office & Business|B1|die Beschaeftigung|employment
Office & Business|B1|die Zusammenarbeit|collaboration
Office & Business|B1|die Verantwortung|responsibility
Office & Business|B1|delegieren|to delegate
Office & Business|B1|dokumentieren|to document
Office & Business|B1|effizient|efficient
Office & Business|B1|die Besprechungskultur|meeting culture
Office & Business|B1|die Strategie|strategy
